S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
88; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-574-9455 - 2815015749455;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
89; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-576-2885 - 2815015762885;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
90; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-576-8627 - 2815015768627;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
91; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-592-9197 - 2815015929197;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
92; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-596-7562 - 2815015967562;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
93; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-599-9796 - 2815015999796;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
94; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-610-1200 - 2815016101200;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
95; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-453-7402 - 2815014537402;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
96; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-610-9750 - 2815016109750;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
97; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-611-2566 - 2815016112566;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
